SYMBOL,SERIES,ISIN,scrip_code,VaR_Margin,ELM,Adhoc_Margin,MTF Margin,market_cap,Turnover,nse_fo,MTF Eligibility,MarKet Cap Category,SUR INDICATOR,company_name
3MINDIA,EQ,INE470A01017,523395,11.47,3.5,0,33,37777,8.99,N,Y,Large Cap,,3M INDIA LIMITED
63MOONS,EQ,INE111B01023,526881,21.6,3.5,0,43,3121,7.91,N,Y,Small Cap,,63 MOONS TECHNOLOGIES LTD
AADHARHFC,EQ,INE883F01010,544176,11.76,3.5,0,33,22016,29.93,N,Y,Large Cap,,AADHAR HOUSING FINANCE L
AARTIDRUGS,EQ,INE767A01016,524348,14.18,3.5,0,40,3399,5.9,N,Y,Small Cap,,AARTI DRUGS LTD.
AARTIIND,EQ,INE769A01020,524208,15.91,3.5,0,37,16917,108.24,N,Y,Mid Cap,,AARTI INDUSTRIES LTD
AARTIPHARM,EQ,INE0LRU01027,543748,17.85,3.5,0,39,6437,22.56,N,Y,Mid Cap,,AARTI PHARMALABS LIMITED
AAVAS,EQ,INE216P01012,541988,12.49,3.5,19.01,53,11741,33.45,N,Y,Mid Cap,,AAVAS FINANCIERS LIMITED
ABBOTINDIA,EQ,INE358A01014,500488,9,3.5,0,30,54388,22.14,N,Y,Large Cap,,ABBOTT INDIA LIMITED
ABDL,EQ,INE552Z01027,544203,16.11,3.5,0,38,17595,23.09,N,Y,Mid Cap,,ALLIED BLEND N DISTILS L
ABFRL,EQ,INE647O01011,535755,15.49,3.5,0,37,7518,23.88,N,Y,Mid Cap,Loss making,ADITYA BIRLA FASHION & RT
ABLBL,EQ,INE14LE01019,544403,12.69,3.5,0,34,12264,12.75,N,Y,Mid Cap,,ADITYA BIRLA LIFES BRAN L
ABREL,EQ,INE055A01016,500040,17.17,3.5,0,39,14582,30.73,N,Y,Mid Cap,,ADITYA BIRLA REAL EST LTD
ABSLAMC,EQ,INE404A01024,543374,15.23,3.5,0,37,34516,52.01,N,Y,Large Cap,,ADIT BIRL SUN LIF AMC LTD
ACC,EQ,INE012A01025,500410,9.77,3.5,0,31,25295,24.8,N,Y,Large Cap,,ACC LIMITED
ACE,EQ,INE731H01025,532762,15.09,3.5,0,37,11948,44.45,N,Y,Mid Cap,,ACTION CONST EQUIP LTD
ACI,EQ,INE128X01021,543657,14.18,3.5,0,36,6541,8.2,N,Y,Mid Cap,,ARCHEAN CHEMICAL IND LTD
ACMESOLAR,EQ,INE622W01025,544283,16.16,3.5,0,38,21773,114.35,N,Y,Large Cap,,ACME SOLAR HOLDINGS LTD
ADFFOODS,EQ,INE982B01027,519183,20.34,3.5,0,42,3409,7.06,N,Y,Small Cap,,ADF FOODS LIMITED
ADVAIT,EQ,INE0ALI01010,543230,23.21,3.5,0,45,2580,15.01,N,Y,Small Cap,,ADVAIT ENRGY TRANSITION L
ADVENZYMES,EQ,INE837H01020,540025,15.99,3.5,0,40,4131,6.53,N,Y,Small Cap,,ADVANCED ENZYME TECH LTD
AEGISLOG,EQ,INE208C01025,500003,18.97,3.5,0,40,37308,403.53,N,Y,Large Cap,,AEGIS LOGISTICS LIMITED
AEGISVOPAK,EQ,INE0INX01018,544407,16.22,3.5,0,38,25667,30.31,N,Y,Large Cap,,AEGIS VOPAK TERMINALS LTD
AEQUS,EQ,INE947N01017,544634,18.39,3.5,0,40,15454,194.34,N,Y,Mid Cap,,AEQUS LIMITED
AEROENTER,EQ,INE065D01027,511076,21.5,3.5,0,43,1517,34.12,N,Y,Small Cap,LT ASM Stage - 1,AEROFLEX ENTERPRISES LTD
AETHER,EQ,INE0BWX01014,543534,15.41,3.5,0,37,18007,64.71,N,Y,Mid Cap,,AETHER INDUSTRIES LIMITED
AFCONS,EQ,INE101I01011,544280,13.43,3.5,0,35,11521,81.38,N,Y,Mid Cap,,AFCONS INFRASTRUCTURE LTD
AFFLE,EQ,INE00WC01027,542752,13.22,3.5,0,35,20491,37.83,N,Y,Large Cap,,AFFLE 3I LIMITED
AGI,EQ,INE415A01038,500187,19.24,3.5,0,41,4551,17.81,N,Y,Small Cap,,AGI GREENPAC LIMITED
AGIIL,EQ,INE976R01033,539042,21.86,3.5,0,43,4433,69.78,N,Y,Small Cap,,AGI INFRA LIMITED
AIAENG,EQ,INE212H01026,532683,11.45,3.5,0,33,45330,58.6,N,Y,Large Cap,,AIA ENGINEERING LIMITED
AIIL,EQ,INE206F01022,539177,22.62,3.5,0,44,45353,124.92,N,Y,Large Cap,,AUTHUM INVEST & INFRA LTD
AJANTPHARM,EQ,INE031B01049,532331,11.59,3.5,0,33,40675,37.04,N,Y,Large Cap,,AJANTA PHARMA LIMITED
AJMERA,EQ,INE298G01035,513349,21.61,3.5,0,43,2643,22.6,N,Y,Small Cap,,AJMERA REALTY & INF I LTD
AKUMS,EQ,INE09XN01023,544222,13.83,3.5,0,35,9658,19.94,N,Y,Mid Cap,,AKUMS DRUGS AND PHARMA L
ALGOQUANT,EQ,INE598D01035,505725,14.68,3.5,0,40,1639,7.78,N,Y,Small Cap,,ALGOQUANT FINTECH LIMITED
ALIVUS,EQ,INE03Q201024,543322,12.74,3.5,0,34,13699,11.47,N,Y,Mid Cap,,ALIVUS LIFE SCIENCES LTD
ALKYLAMINE,EQ,INE150B01039,506767,16.44,3.5,0,38,9111,37.5,N,Y,Mid Cap,,ALKYL AMINES CHEM. LTD
ALLTIME,EQ,INE0GV601021,544479,16.35,3.5,0,40,1558,5.47,N,Y,Small Cap,,ALL TIME PLASTICS LIMITED
ALOKINDS,EQ,INE270A01029,521070,16.39,3.5,0,38,6509,11.24,N,Y,Mid Cap,Loss making,ALOK INDUSTRIES LIMITED
AMAGI,EQ,INE121R01077,544679,12.41,3.5,0,34,11535,31.69,N,Y,Mid Cap,,AMAGI MEDIA LABS LIMITED
ANANDRATHI,EQ,INE463V01026,543415,10.58,3.5,0,32,31613,129.29,N,Y,Large Cap,,ANAND RATHI WEALTH LTD
ANANTRAJ,EQ,INE242C01024,515055,21.02,3.5,0,43,19023,166.88,N,Y,Mid Cap,,ANANT RAJ LIMITED
ANTELOPUS,EQ,INE818A01017,530075,26.34,3.5,0,48,2865,12.92,N,Y,Small Cap,,ANTELOPUS SELAN ENRGY LTD
ANTHEM,EQ,INE0CZ201020,544449,10.01,3.5,0,32,43201,43.25,N,Y,Large Cap,,ANTHEM BIOSCIENCES LTD
ANUP,EQ,INE294Z01018,542460,19.7,3.5,0,41,4565,18.96,N,Y,Small Cap,,THE ANUP ENGINEERING LTD
ANURAS,EQ,INE930P01018,543275,10.87,3.5,0,32,14585,34.9,N,Y,Mid Cap,,ANUPAM RASAYAN INDIA LTD
APARINDS,EQ,INE372A01015,532259,19.37,3.5,0,41,66940,252.64,N,Y,Large Cap,,APAR INDUSTRIES LTD.
APCOTEXIND,EQ,INE116A01032,523694,15.88,3.5,0,40,2764,7.93,N,Y,Small Cap,,APCOTEX INDUSTRIES LIMITE
APLLTD,EQ,INE901L01018,533573,12.62,3.5,0,34,15345,9.55,N,Y,Mid Cap,,ALEMBIC PHARMA LTD
APOLLOPIPE,EQ,INE126J01016,531761,19.35,3.5,0,41,2147,6.64,N,Y,Small Cap,,APOLLO PIPES LIMITED
APOLLOTYRE,EQ,INE438A01022,500877,11.48,3.5,0,33,26789,55.63,N,Y,Large Cap,,APOLLO TYRES LTD
APTUS,EQ,INE852O01025,543335,13.43,3.5,0,35,13255,25.78,N,Y,Mid Cap,,APTUS VALUE HSG FIN I LTD
ARE&M,EQ,INE885A01032,500008,13.52,3.5,0,35,15555,41.33,N,Y,Mid Cap,,AMARA RAJA ENERGY MOB LTD
ARMANFIN,EQ,INE109C01017,531179,18.06,3.5,0,40,1752,6.65,N,Y,Small Cap,,ARMAN FIN SERV LTD
ARSSBL,EQ,INE549H01021,544530,14.46,3.5,0,40,3473,13.47,N,Y,Small Cap,,ANAND RATHI SH N STK BR L
ARVIND,EQ,INE034A01011,500101,16.57,3.5,0,38,14576,52.55,N,Y,Mid Cap,,ARVIND LIMITED
ARVINDFASN,EQ,INE955V01021,542484,15.35,3.5,0,37,6287,10.43,N,Y,Mid Cap,,ARVIND FASHIONS LIMITED
ARVSMART,EQ,INE034S01021,539301,15.27,3.5,0,40,2789,20.28,N,Y,Small Cap,,ARVIND SMARTSPACES LTD
ASAHIINDIA,EQ,INE439A01020,515030,14.35,3.5,0,36,21861,5.35,N,Y,Large Cap,,ASAHI INDIA GLASS LIMITED
ASHAPURMIN,EQ,INE348A01023,527001,23.73,3.5,0,45,6614,46.4,N,Y,Mid Cap,,ASHAPURA MINECHEM LTD
ASHOKA,EQ,INE442H01029,533271,17.36,3.5,0,40,3773,50.84,N,Y,Small Cap,,ASHOKA BUILDCON LTD
ASIANENE,EQ,INE276G01015,530355,20.99,3.5,0,42,1670,15.66,N,Y,Small Cap,,ASIAN ENERGY SERVICES LTD
ASKAUTOLTD,EQ,INE491J01022,544022,13.23,3.5,0,35,9110,5.75,N,Y,Mid Cap,,ASK AUTOMOTIVE LIMITED
ASTEC,EQ,INE563J01010,533138,23.39,3.5,0,45,1675,6.58,N,Y,Small Cap,Loss making,ASTEC LIFESCIENCES LTD
ASTERDM,EQ,INE914M01019,540975,12.63,3.5,0,34,39880,61.73,N,Y,Large Cap,,ASTER DM HEALTHCARE LTD.
ASTRAMICRO,EQ,INE386C01029,532493,17.43,3.5,0,39,15786,214.65,N,Y,Mid Cap,,ASTRA MICROWAVE LTD
ATGL,EQ,INE399L01023,542066,20.26,3.5,0,42,79120,425.36,N,Y,Large Cap,,ADANI TOTAL GAS LIMITED
ATHERENERG,EQ,INE0LEZ01016,544397,16.45,3.5,0,38,37859,323.84,N,Y,Large Cap,,ATHER ENERGY LIMITED
ATUL,EQ,INE100A01010,500027,10.67,3.5,0,32,19468,14.02,N,Y,Mid Cap,,ATUL LTD
AURIONPRO,EQ,INE132H01018,532668,20.49,3.5,0,42,4980,34.67,N,Y,Small Cap,,AURIONPRO SOLN LTD
AVALON,EQ,INE0LCL01028,543896,21.45,3.5,0,43,11673,56.64,N,Y,Mid Cap,,AVALON TECHNOLOGIES LTD
AVANTEL,EQ,INE005B01027,532406,20.02,3.5,0,42,4520,36.03,N,Y,Small Cap,,AVANTEL LIMITED
AVANTIFEED,EQ,INE871C01038,512573,22.34,3.5,0,44,13329,72.74,N,Y,Mid Cap,,AVANTI FEEDS LIMITED
AVL,EQ,INE679V01027,540205,15.52,3.5,0,37,8322,22.82,N,Y,Mid Cap,,ADITYA VISION LIMITED
AWFIS,EQ,INE108V01019,544181,19.32,3.5,0,41,2219,8.77,N,Y,Small Cap,,AWFIS SPACE SOLUTIONS LTD
AWL,EQ,INE699H01024,543458,13.36,3.5,0,35,23796,75.15,N,Y,Large Cap,,AWL AGRI BUSINESS LIMITED
AXISCADES,EQ,INE555B01013,532395,21.85,3.5,0,43,7474,29.81,N,Y,Mid Cap,,AXISCADES TECH LTD
AXISGOLD,EQ,INF846K01W80,,13.32,3.5,0,35,5111,35.98,N,Y,Mid Cap,,AXIS MF - AXIS GOLD ETF
AXISILVER,EQ,INF846K011K1,,22.42,3.5,0,44,1859,33.31,N,Y,Small Cap,,AXISAMC - AXISILVER
AYE,EQ,INE501X01029,544699,17.23,3.5,0,40,4084,26.9,N,Y,Small Cap,,AYE FINANCE LIMITED
AZAD,EQ,INE02IJ01035,544061,17.29,3.5,0,39,12961,105.84,N,Y,Mid Cap,,AZAD ENGINEERING LIMITED
BAJAJELEC,EQ,INE193E01025,500031,12.87,3.5,0,40,3747,6.59,N,Y,Small Cap,,BAJAJ ELECT.LTD
BAJAJHFL,EQ,INE377Y01014,544252,9.73,3.5,0,31,73283,46.92,N,Y,Large Cap,,BAJAJ HOUSING FINANCE LTD
BAJAJHIND,EQ,INE306A01021,500032,16.82,3.5,0,40,4502,15.82,N,Y,Small Cap,,BAJAJ HINDUSTHAN SUGAR LT
BAJEL,EQ,INE0KQN01018,544042,19.32,3.5,0,41,2330,8.07,N,Y,Small Cap,,BAJEL PROJECTS LIMITED
BALKRISIND,EQ,INE787D01026,502355,12.75,3.5,0,34,42988,56.66,N,Y,Large Cap,,BALKRISHNA IND. LTD
BALRAMCHIN,EQ,INE119A01028,500038,13.54,3.5,0,35,10841,28.53,N,Y,Mid Cap,,BALRAMPUR CHINI MILLS LTD
BALUFORGE,EQ,INE011E01029,531112,22.13,3.5,0,44,5436,32.53,N,Y,Mid Cap,,BALU FORGE INDUSTRIES LTD
